framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
hadoop,aggregation,large,1.264144829,1.351989864,1.599223952,1,1.093046676,1.320421938,1.68001711,1.906768727,2.139930606,1.111310555,1.280440881,1.496305943,2.107590337,2.304933137,2.706278846,1.636057031,1.71817392,2.001962653
hadoop,aggregation,medium,1.260940042,1.405628944,1.631077448,1,1.117259442,1.326689625,1.691489265,1.915902565,2.23986217,1.11869354,1.28685426,1.501997839,2.153625145,2.433113802,2.71451327,1.656297057,1.77271956,2.031752214
hadoop,aggregation,small,1.26183386,1.413006041,1.996955115,1,1.098046822,1.320447303,1.680972046,1.832614818,2.152076809,1.120999437,1.30180666,1.497399288,2.136252493,2.363343704,2.647941286,1.639901335,1.942067323,2.031438895
hadoop,join,large,1.287584549,1.40607382,2.168096137,1,1.105748604,1.338594466,1.711191645,1.852973505,2.218652017,1.19121357,1.270690374,1.49528878,2.144805494,2.344450668,2.767237196,1.6635802,1.686299742,2.022865579
hadoop,join,medium,1.264729328,1.386361128,2.131753374,1,1.093229425,1.323264642,1.704374797,1.786018499,2.216296376,1.173683191,1.262173291,1.466438074,2.136945976,2.341008006,2.728923889,1.645052484,1.652440975,2.001874199
hadoop,join,small,1.282457472,1.403942811,1.656918182,1,1.092129187,1.303917923,1.68591617,1.808231785,2.242458769,1.191892096,1.251304311,1.467775563,2.114235784,2.373647424,2.705943684,1.642267268,1.669514261,2.099828543
hadoop,pagerank,large,1.071256178,1.814150571,1.873100687,1.199486993,1,1.874252588,1.477399314,1.822040881,1.929746303,1.208665991,1.132729926,1.986435491,1.788858211,2.401505544,3.461482261,1.720462037,1.657973656,2.701933982
hadoop,pagerank,medium,1.238194929,1.070819376,1.302593947,1.029445106,1.158054405,1.849274301,1.322301408,1.635831024,2.608712492,1.050424389,1,1.672232614,1.708897693,2.036961359,2.072485334,1.232969478,1.454850989,2.284489656
hadoop,pagerank,small,1.101494252,1.551568387,1.446504095,1,1.197103624,1.244310902,1.511646253,1.886940297,2.194958465,1.101028804,1.070839698,1.572926354,1.790009634,2.575922715,2.320635526,1.352549439,1.954127231,1.947395474
hadoop,scan,large,1.274739745,1.355602401,1.561619701,1,1.071660352,1.237018311,1.735505116,1.764474544,1.984755167,1.419621254,1.222576121,1.324660956,2.176100001,2.903038992,2.516635514,1.631224834,1.590167469,1.784347364
hadoop,scan,medium,1.163754181,1.872491639,3.774916388,1,1.696998726,3.160261984,1.680822185,2.533439242,4.720345596,1.147435897,1.892419175,3.566013696,2.042349896,35.15658505,6.091067447,1.453012821,2.405501672,4.628416945
hadoop,scan,small,1.164377622,1.982601399,3.93834965,1,1.701897303,3.251433367,1.697351049,2.616525874,4.949034965,1.118121878,1.869090909,3.298461538,2.02456983,3.294204995,6.364601399,1.471583217,2.423709091,4.650987413
hadoop,sort,large,1.128535831,1.54973001,1.822552636,1,1.358751408,1.63521068,1.438275283,1.571610147,1.88608941,1.162259226,1.078929753,1.32335382,1.744546233,1.872772223,2.021945318,1.437701594,1.312829703,1.45062553
hadoop,sort,medium,1.101171404,3.954063619,1.452156812,1,1.059294684,1.299868241,2.85030786,1.338217036,2.525837771,1.029997464,1.105373012,2.572403941,1.875293265,1.836806063,2.122055604,1.363797597,1.288713303,1.677336314
hadoop,sort,small,3.786615921,1,1.198894656,4.308676892,5.999777821,9.140636259,1.133167046,1.173693336,1.561880953,1.9752085,3.333712351,1.009927597,1.425458892,1.509568785,1.523356838,1.323572451,1.23144401,1.088955902
hadoop,terasort,large,1.186231703,1.422895681,1.575767851,1.064707743,1.230779126,1.426903241,1.598048908,1.570206717,1.855520052,1.1490987,1.175605463,1.291011029,1.927787934,1.96576869,2.129527225,1,1.439681774,1.57186045
hadoop,terasort,medium,1.308644561,4.034921617,1.426956175,1,1.156580187,1.222549648,1.776746279,1.459842274,1.763049392,1.067357938,1.124465509,1.240523286,1.853880359,1.942709395,2.372927318,1.938417651,1.468453571,1.740669792
hadoop,terasort,small,4.903249469,1.176737806,1.37580635,2.800965958,1,1.136976601,1.437891861,1.515886619,1.846592247,1.048385756,1.082320964,1.283027623,1.846269105,1.978710882,1.951954756,1.413311015,1.41266249,1.415873565
spark,aggregation,large,1.301826327,2.079605681,1.85077499,1.016184466,2.536014558,1.526900988,1.424398769,1.726352617,2.374413319,1,1.117264181,1.61907722,1.677788679,2.076706936,2.917932641,1.309091724,1.527202786,2.196171763
spark,aggregation,medium,1.300542531,1.310291503,1.768860088,1.99744327,1.076890432,1.585292432,2.797988897,1.621050383,2.340522316,1,1.178431459,1.565214314,1.701729464,2.031864157,2.965511125,1.320628168,1.495210156,2.181724776
spark,aggregation,small,1.361322113,1.376863015,8.361670848,1.070960788,1.138357005,1.732234984,1.425239223,1.775048053,5.581761791,1,1.148126342,1.588075979,1.747489108,2.061345981,2.93310424,1.291141722,1.578244821,2.130525095
spark,als,large,1.789983925,1,3.278984887,1.679915269,2.498161698,3.496375034,1.152013581,1.839573259,3.308291059,1.233152189,1.981988426,2.911191383,1.836427853,1.636173485,5.351743024,1.530312853,2.363352351,3.851088594
spark,als,medium,1,3.172699979,4.963443639,1.674474046,3.192222752,4.785288547,2.023219388,3.132818288,4.497802237,1.457612706,2.721270315,1.833730267,1.930454244,2.122140784,6.474794511,1.207506967,1.647990969,6.088545525
spark,als,small,1.715382835,3.365811591,2.024336768,1,2.103084525,6.541191584,2.513615435,1.647900964,6.665562945,1.058385507,1.20728885,1.855376095,1.916911983,2.334085361,3.198287819,1.443595459,1.584720375,8.409174401
spark,bayes,large,3.130100397,2.089082465,1.749699345,3.208057435,3.043073422,1.117450398,3.243922951,1.341932663,1.814954842,2.450162258,1,1.319052221,1.700402305,1.619668743,4.975559403,1.446518009,1.31857511,1.64170908
spark,bayes,medium,3.153743997,1.193139326,1.722671779,3.568634622,1,1.51251865,2.014054033,1.560964909,2.452902568,1.598853555,1.613719474,3.775849595,1.796133432,3.65095204,5.363630735,1.338950382,2.859367005,2.158399701
spark,bayes,small,2.316762825,1.513187692,3.697757034,1.924694239,1.045325497,3.057944019,1.669766268,1.559033522,6.337373266,1,1.813259,1.553106588,1.281175072,3.450071308,6.565602086,1.403323682,1.926916461,6.374504516
spark,join,large,1.217461868,1.502942264,2.110869106,1,3.651573908,1.731118388,2.187794649,1.909121493,2.83526914,1.859530801,1.30510605,6.314559743,1.966778773,2.394017872,3.579945232,1.528090935,1.762525351,2.59565785
spark,join,medium,1.120316642,1.50267813,1.987675808,1,1.404134875,1.663902261,1.635192996,1.783015043,2.661261677,1.123606389,1.225209572,1.763691466,1.787735023,2.413742492,3.280492688,1.361369271,1.796853646,2.726178272
spark,join,small,1.105636852,1.346133938,1.967190769,1.5843217,1.328286615,1.546727931,1.56861426,3.153416943,2.614423958,1,1.163292112,1.74339116,1.803486899,2.360992323,3.151534117,1.302158758,2.569727863,2.314181107
spark,lr,large,5.586970507,2.064733896,3.244865904,4.996224373,1.832754934,1.429765466,1.262010193,1.47214415,4.063133094,1,1.331710092,3.060795945,1.780912675,1.866529726,6.115801933,1.721112039,1.342038043,3.648706937
spark,lr,medium,6.495994604,2.843906045,7.646852061,5.558862784,1.444967497,2.147159491,1.426902973,2.642998941,7.248510712,1,2.609476034,8.050969924,1.934008675,2.401581563,11.96210392,1.331239501,1.814201164,2.870990634
spark,lr,small,3.875499761,3.330651298,3.74912306,3.529386641,2.699247806,3.438320335,1.058542372,1.807922412,4.426890607,1.124957013,1,3.341002629,1.675744983,2.443223989,10.01033663,1.089297782,1.343618251,3.867642302
spark,pagerank,large,2.221410338,1.730216632,2.102036857,1.619248891,1.4159092,1.332613297,1.52737958,1.399838642,3.584456574,1.31763856,1,2.475071933,1.774878718,1.5621373,2.054866705,1.422486679,1.192157876,1.754316036
spark,pagerank,medium,2.334683536,1.555630287,2.630900231,2.124859564,1,1.187551911,1.800296445,1.342048131,1.718447673,1.310068356,2.098661466,1.245448715,1.748633276,3.386232555,5.639219294,1.532681821,1.152474187,1.44480842
spark,pagerank,small,1.104012068,2.279281453,2.850427563,1.387014927,1.66960877,3.628602651,1.402350513,2.760340284,3.488885927,1,1.750568077,2.546220984,1.313219771,2.827584248,3.849581269,1.306271167,1.892539926,3.24390869
spark,scan,large,1.236171127,1.484356307,2.039271369,1,3.916691929,11.19482245,2.011872838,1.948078972,2.917865533,1.761733384,2.707217111,4.40496399,2.529580124,2.417995652,3.277175021,1.38767314,2.615314344,2.224633412
spark,scan,medium,1.125440251,6.094122022,3.646678531,1,1.484426147,3.124990836,1.492395017,5.32515764,9.792168716,1.027623576,1.59069298,3.59021488,1.699946878,2.925170921,13.39732397,2.189382985,2.182317724,4.539429998
spark,scan,small,1.125084746,7.089322034,3.728700565,1,1.465383105,5.341894539,1.511126177,5.763190207,9.708391714,1.035835351,1.697605596,3.551358623,1.792147969,2.924343826,6.183766478,2.317677966,3.503442561,4.507329567
spark,sort,large,1.108024581,1.791168225,2.92109906,1,1.388499661,2.774357132,1.337133123,2.239503218,3.172279661,1.15868944,1.398915444,2.309708332,2.272138626,2.698485355,2.79718966,1.598618598,1.616846091,2.29050757
spark,sort,medium,1.11275498,1.778539629,2.905891916,1,1.423923401,2.69416253,1.324635668,2.026705224,2.84762279,1.130540211,1.403938552,2.36470869,1.933038593,1.875386297,2.530782176,1.312632631,1.18475359,1.84674708
spark,sort,small,1.124542352,1.775668357,2.74244308,1,1.454256067,2.433950904,1.213008085,1.784187992,2.496300929,1.081607617,1.121251414,1.789100339,1.339302595,1.797183174,2.436676392,1.682556602,1.31449576,1.820505447
spark,terasort,large,1.084923542,1.701980884,2.528735046,1,1.482869663,2.273767538,1.573678745,2.101056667,3.006119687,1.186731628,1.424675423,2.355925079,2.280909918,2.328466564,2.898456795,1.744121885,1.749194898,2.16631843
spark,terasort,medium,1.296356211,1.974632577,3.033854933,1.189433499,1.663697179,2.740640644,1.808707319,2.404572003,2.936895913,1.341590634,1.46149778,2.388993821,1,2.472759529,3.268438861,1.681586368,1.659476149,2.52651512
spark,terasort,small,1.076252673,1.664420408,2.177758493,1.008930429,1.364189288,2.011560235,1.306121395,1.673374923,2.129206002,1,1.227245558,1.558083212,1.310481057,1.8580485,2.86437259,1.142480818,1.410245067,1.985215955
spark,wordcount,large,1.667695022,3.328900535,2.143110074,1,1.381722332,1.968167399,1.562910084,2.388908021,2.79905222,1.614026355,1.748814279,1.441024559,2.429344717,2.008120766,2.633141852,1.487404316,1.542540052,2.375995349
spark,wordcount,medium,1.826292644,2.79654843,5.357268329,1.644703997,1.233654042,4.467942186,1.282643163,1.4584463,2.066322167,1,1.077789762,4.460661345,1.58945422,1.832839225,2.682174181,1.275085087,2.778633918,2.995424451
spark,wordcount,small,1.244910612,1.327498326,1.655324666,1.709371619,1.07319334,4.795049374,1.048897628,1.340506792,6.516221127,1.12596816,1,3.902213674,2.26012468,3.375378677,14.01166386,1.659582081,4.072820931,2.048459015
spark1.5,als,large,4.206642244,1.859372819,2.581743084,3.617298814,1,2.504255608,1.277923394,1.590507736,2.493257829,1.363375422,1.125804017,1.977022045,1.510271726,2.060300787,3.101336162,1.218716816,1.937545924,2.26106731
spark1.5,als,medium,2.231117082,1.393894311,2.334240271,1.861526614,2.888631463,1.952217129,1.356539007,1.829868626,3.672571071,1,1.274696933,2.580135346,1.68113098,2.242167573,4.081853621,1.315484945,2.096455363,2.896324003
spark1.5,als,small,1.363262262,1.10073536,1.80627772,1.168941158,1.130722861,1.686914462,1.118292973,1.584652869,2.511931682,1.192252232,1,1.568326233,1.293002578,1.779154432,2.81311469,1.436481514,1.640529629,2.184109663
spark1.5,block-matrix-mult,large,1.193916348,1.925284752,2.648933845,1.029370708,2.515891901,2.82821208,1.355312984,2.024772566,3.437393122,1,1.457460734,2.533592446,1.739956098,2.623407032,4.408828729,1.477424878,2.01830407,3.423388451
spark1.5,chi-sq-feature,large,1.127943391,1.412321137,1.899887572,1,1.268629732,1.470173366,1.602899102,1.940660198,3.135910811,1.292180174,1.41589683,2.484093139,1.950679781,2.613152494,2.759581712,1.868835555,2.172866149,2.243753105
spark1.5,chi-sq-feature,medium,1.186448407,1.519728462,2.229183974,1,1.318640909,2.359995618,1.570676763,2.092076574,2.590948147,1.291279792,1.532334529,1.923658988,2.010743674,2.579801605,2.964790319,1.895025295,2.677505679,2.385939299
spark1.5,chi-sq-feature,small,1.127791287,1.545705775,2.175471702,1,1.323068,1.655865099,1.660557251,2.092858504,2.655593767,1.307015438,1.433059541,2.086424359,2.377710814,2.554072881,3.455097966,2.203132956,2.776189634,2.552321839
spark1.5,chi-sq-gof,medium,1.240338957,1.993422558,4.415509389,1.121705109,1.461083644,3.921570434,1.37542447,2.54370219,5.710407995,1,1.809094167,4.111210943,1.758372358,3.247921976,7.261695375,1.320866194,2.335416572,5.948475583
spark1.5,chi-sq-gof,small,2.183102835,2.214905474,4.698861579,1.023983778,1.692421476,4.206733546,1.386862511,2.872988429,6.440942044,1,2.144042268,4.512945092,1.746567657,3.658418079,8.157244,1.442647194,2.755752057,6.745067927
spark1.5,chi-sq-mat,large,1.13470216,2.208019816,4.485129672,1,1.617866382,4.053314855,1.491898187,2.77903362,6.191466479,1.040259566,1.976433702,4.313376543,1.893952736,3.435465961,8.226163252,1.331679919,2.603503943,5.687217127
spark1.5,classification,large,5.754411635,6.108820446,6.546628075,5.127106382,5.35102094,5.81069539,8.003711855,8.201446945,1.360138897,5.696700043,6.022043037,1,10.00964994,1.473585495,1.701440887,7.738644678,1.099346588,1.434786874
spark1.5,classification,medium,6.107030584,6.481017595,1.343717069,5.41025482,5.700339952,1.143899072,8.35954943,1.327428055,1.781847285,6.071848805,1,1.24100121,1.483693664,1.640276281,2.177881676,1.187984481,1.379591638,1.695607087
spark1.5,classification,small,5.973005865,1.170841099,1.737452814,5.375012705,1,1.424291024,8.302657494,1.522731681,2.198914344,6.035962313,1.189772553,1.64327596,1.610666313,2.074159012,2.839199681,1.273603838,1.49893026,2.11842821
spark1.5,decision-tree,medium,1.7010859,1.453819534,2.512590328,1.703724501,1.230044213,2.134152864,1.322250824,1.961429248,3.755869376,1,1.482897078,2.37372417,1.640747068,2.419068133,4.283214376,1.361115583,1.857410695,3.060260526
spark1.5,decision-tree,small,1.105175357,1.643071646,3.06173278,1,1.362393,2.632138186,1.388659025,2.276308346,4.095076225,1.061627922,1.637083633,2.810508361,1.976289128,2.739712486,5.40923322,1.416838201,2.072974107,3.692879311
spark1.5,fp-growth,large,1.253025378,1.67720743,2.585356056,1.008070975,1.278296881,2.276652466,1.348600479,2.003324707,3.5022041,1,1.479098641,2.577869008,1.652258553,2.619047025,4.119603612,1.390262368,2.141648732,3.161985894
spark1.5,fp-growth,medium,1.266173696,1.574855785,2.930293461,1,1.367219019,2.496524253,1.337103575,2.340651519,3.745228208,1.198059506,1.455044091,2.723508383,1.777305867,2.837905897,4.890011172,1.415070267,2.1481695,3.564761233
spark1.5,fp-growth,small,1.095368948,1.446286879,2.79335785,1.03560043,1.196363294,2.491978977,1.254958936,2.146552747,3.824206033,1,1.436502349,2.601707088,1.474045551,2.435839309,4.657760888,1.276768823,2.081251182,3.734900268
spark1.5,gmm,large,1.238500616,1.755828941,2.204683873,1,1.499231996,1.871665062,1.630153291,2.310261844,2.876804501,1.232271094,1.281308636,1.800460715,2.037997142,2.749059107,3.553863516,2.185224164,1.797831686,2.529037862
spark1.5,gmm,medium,1.188980196,1.370053554,1.89253991,1,1.273628733,1.55164509,1.671023537,2.051085494,2.371773128,1.25057665,1.357838882,1.891536585,2.040032414,2.331213529,2.731513292,1.65838235,1.884341803,2.137259218
